assignedAt,department,connection,conversationTags
2026-04-07 09:30:00,Panel Royal,Reisenweaver Communications,tag1;tag2
2026-04-07 09:31:00,Panel Royal,Reisenweaver Communications,
2026-04-07 09:32:00,Panel Blue,Other Campaign,tag3
2026-04-07 09:33:00,Panel Blue,Other Campaign,
2026-04-07 09:34:00,Panel Gold,Reisenweaver Communications,tag1
2026-04-07 09:35:00,Panel Gold,Reisenweaver Communications,tag2;tag3
2026-04-07 09:36:00,Panel Royal,Other Campaign,
2026-04-07 09:37:00,Panel Royal,Other Campaign,tag4
2026-04-07 09:38:00,Panel Blue,Reisenweaver Communications,tag1
2026-04-07 09:39:00,Panel Blue,Reisenweaver Communications,
